이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,키워드
한땀스시,"초밥,롤",4.6,248,"서울 용산구 한강대로 69 용산푸르지오써밋 상가동 지하1층 102-1호
(지번) 한강로2가 420",37.52704,126.9648922,02-790-8221,"카이센동 세트 (점심메뉴) (15,000원), 카이센동 코스 (점심메뉴) (19,000원), 런치스시세트 (점심메뉴) (15,000원), 모듬스시 A코스 (점심메뉴) (19,000원), 모듬스시 B코스 (점심메뉴) (25,000원), 한땀스시코스 (점심메뉴) (35,000원), 카이센동 코스 (19,000원), 모듬스시 A코스 (19,000원), 모듬스시 B코스 (25,000원), 한땀스시코스 (35,000원), 사시미코스 (2인 기준) (79,000원), 모듬사시미 (50,000원), 미니사시미 (20,000원), 얼큰새우튀김우동 (12,000원), 후토마키 한줄 (18,000원), 아구간이 올라간 후토마키 (5p) (18,000원), 연어/삼치머리구이 (18,000원), 왕새우튀김 (8p) (20,000원), 도미머리조림 (25,000원), 고등어봉초밥 (8~9p) (23,000원)",영업시간 화~토 11:30 ~ 21:00 휴식시간 14:30 ~ 17:30,"가성비좋은, 데이트하기좋은, 친절한, 신선한, 맛있는, 코스요리, 오마카세, 사시미, 후토마끼, 우니, 태블릿, 혼자갈만한, 점심식사, 단체모임, 접근성"
바이두부,샐러드,4.6,215,"서울 용산구 소월로20길 10 2층
(지번) 용산동2가 1-467",37.54607478,126.9851982,070-4035-6004,"아메리카노 (4,500원), 카페라떼 (5,000원), 바닐라라떼 (5,300원), 허브티 (4,500원), 브로콜리두부강정 (12,000원), 타코샐러드 (14,500원), BTS (13,500원), 에그레스샌드위치 (11,000원), 바두반미 (13,000원), 하우스와인 (6,000원), 바이두부랩 (13,000원), V.C.L.T랩 (13,000원), 에그래스샐러드 (7,000원), 바이두부후무스 (5,000원), 쌀르뱅쿠키 (4,500원)","영업시간 월,목,금 09:00 ~ 19:30 · 휴게시간 월,목,금 15:00 ~ 17:00","건강하게, 건강한, 든든한, 아담하고, 샌드위치, 퀴노아샐러드, 도장, 건강식, 브런치, 워크숍, 식사대용"
용산삼계탕,삼계탕,4.6,176,"서울 용산구 한강대로48길 20
(지번) 한강로2가 84-1",37.53128722,126.9715164,0502-5550-0181,"삼계탕 (17,000원), 한방삼계탕 (18,000원), 들깨삼계탕 (18,000원), 닭볶음탕 (39,000원), 인삼주 (7,000원)","영업시간 월,화,일 11:00 ~ 21:30","오래된, 깔끔하고, 다양한, 데이트, 깔끔한, 닭볶음탕, 삼계탕, 삼계탕집, 반계탕, 들깨삼계탕, 보약, 건강식, 외식, 저녁식사, 단체모임"
원밀,커피전문점,4.6,155,"서울 용산구 원효로19길 18 1층
(지번) 원효로4가 93",37.53299909,126.952836,02-2138-1918,"아메리카노 (3,500원)",영업시간 월~금 08:00 ~ 18:00 토 10:00 ~ 18:00,"신선한, 다양한, 맛있는, 깔끔하고, 데이트하기좋은, 로스팅, 마들렌, 스무디, 디카페인, 스콘, 접근성, 명함, 단골, 식사대용, 노트북"
용산양다리 용산본점,양꼬치,4.6,129,"서울 용산구 원효로41길 15 1층
(지번) 원효로3가 37-2",37.53453943,126.958315,02-712-6238,"양다리구이 (소) (66,000원), 고급양갈비 (28,000원), 양삼겹 (20,000원), 양갈비살꼬치 (18,000원), 양꼬치 (16,000원), 마라룽샤 (35,000원), 마라샹궈 (30,000원), 마라탕 (30,000원), 마라새우 (30,000원), 향라새우 (22,000원), 바지락볶음 (20,000원), 마파두부 (15,000원), 건두부볶음 (15,000원), 가지튀김 (18,000원), 숙주우삼겹 (20,000원), 어향육사 (20,000원), 향라닭날개 (20,000원), 류육단 (20,000원), 꿔보러우 (20,000원), 즈란닭근위 (20,000원), 마늘쫑볶음 (18,000원), 양고기전골 (25,000원), 향라육사 (20,000원)",매일 12:00 ~ 22:30,"친절한, 이색적인, 맛있는, 깔끔한, 다양한, 양갈비, 계란탕, 양다리구이, 가지튀김, 양고기, 접근성, 동네맛집, 단골, 단체모임, 가성비 "
대가,삼겹살,4.6,81,"서울 용산구 한강대로39길 4
(지번) 한강로2가 309-1",37.53079191,126.9688761,02-793-0125,"오겹살 (180g) 국내산 (15,000원), 소고기모둠1kg 미국산 (69,000원), 소갈비살 (180g) 미국산 (18,000원), 목살 (180g) 국내산 (15,000원), 돼지고기모둠 미국산 (55,000원)",매일 14:00 ~ 22:00,"맛있는, 합리적인, 친절한, 가성비좋은, 넓은, 파절이, 볶음밥, 소고기, 소갈비살, 후식냉면, 단체모임, 평일저녁, 단골집, 소주, 술한잔"
우소츠케,일식,4.6,80,"서울 용산구 한강대로62나길 14 1층
(지번) 용산동3가 1-68",37.5343059,126.9745027,02-792-1017,"사시미(2인) (36,000원), 전갱이 나메로우 (18,000원), 사시미 고마아에 (19,000원), 훈연 시메사비 (23,000원), 훈연 삼치 (20,000원), 코모레마끼 (25,000원), 닭다릿살 와라야끼 (16,000원), 닭내장구이 (15,000원), 닭목살 스미야끼 (15,000원), 이베리코 목살 미소야끼 (19,000원), 메로 유란야끼 (25,000원), 금태구이+마라소스 (45,000원), 꽃게내장파스타 (23,000원), 함박과 나폴리탄 (18,000원), 생선튀김 (18,000원), 토마토나베 (25,000원), 산토리 하이볼 (9,000원), 제임슨 하이볼 (9,000원), 치타 하이볼 (16,000원), 한라산 소주 (6,000원)",매일 17:30 ~ 01:00,"아늑하고, 다양한, 맛있는, 친절한, 일본감성, 사시미, 토마토나베, 파스타, 닭다리살, 하이볼, 가성비, 술한잔, 일본어, 단체모임, 데이트코스"
로기,와인바,4.5,696,"서울 용산구 한남대로27가길 32 1층 201호
(지번) 한남동 729-91",37.53810373,127.0025679,0502-5551-0026,"6 Course (115,000원), Pound Cake(2pc) (10,000원), Yellow Tail (28,000원), Cabbage (23,000원), Webfoot octopus (25,000원), Mushroom (19,000원), Sausage (23,000원), Fish (42,000원), Beef rib (85,000원), Lamb (39,000원), Prawn pasta (27,000원), Sea urchin pasta (34,000원), Beef Udon (29,000원), Sour Dough (5,000원), Cheese Plater (25,000원), Smoked Ice Cream & Marshmallow (10,000원), Wood Gateau Cake (13,000원)",영업시간 화~목 17:00 ~ 24:00 금~일 12:00 ~ 24:00,"다양한, 특별한, 맛있는, 친절한, 신선한, 코스요리, 새우파스타, 사워도우, 우니파스타, 와인바, 추억, 데이트코스, 가성비, 단체모임, 접근성"
키보 에다마메,일식,4.5,665,"서울 용산구 한강대로76길 11-40
(지번) 남영동 97-5",37.54243437,126.9737108,070-8866-1140,"스파이시 유린기 (18,000원), 야끼사바 차항(고등어볶음밥) (16,000원), 시오야끼소바 (16,000원), 명란 포테토 사라다 (9,000원), 에다마메 하이볼 (7,000원)",월~토 11:30 ~ 22:30 일 11:30 ~ 20:30 · 휴게시간 월~토 14:30 ~ 17:00,"맛있는, 다양한, 친절한, 데이트하기좋은, 귀여운, 유린기, 마파두부, 하이볼, 고등어볶음밥, 생맥주, 태블릿, 술한잔, 일본어, 접근성, 단골집"
마하 한남,카페,4.5,272,"서울 용산구 서빙고로91나길 85 4층
(지번) 동빙고동 21-2",37.52449235,126.9960877,070-8064-8409,"creme caramel latte (8,800원), espresso (6,500원), americano (7,500원), whisky (변동가격), creme vanilla (8,500원), affogato (8,500원), creme brownie (9,500원), tiramisu x bistecca (9,500원), green tangerine ade (8,500원), rice croissant (5,500원)","영업시간 월,화,수,목,일 12:00 ~ 21:00 금토 12:00 ~ 24:00","
친절한, 멋진, 편안함, 데이트하기좋은, 예쁜, 테라스, 브라우니, 카라멜라떼, 치즈케이크, 아이스아메리카노, 뷰맛집, 쇼파, 데이트코스, 접근성, 넓은공간"
크레이트커피,카페,4.5,139,"서울 용산구 독서당로 97 1층
(지번) 한남동 33-4",37.53531764,127.0107932,070-7576-4936,"아메리카노 (5,000원), 카푸치노 (6,500원), 라떼 (6,500원), 플랫화이트 (6,500원), 바닐라라떼 (7,000원), 카카오크림라떼 (7,500원), 착즙주스 (7,500원), 초코라떼 (7,000원), 레몬 에이드 (7,000원), 패션후루츠 에이드 (7,000원), 얼그레이 클래식 (6,000원), 페르디셔 압펠 사과티 (6,000원), 히비스커스 (7,500원), 밀크티 (7,500원)",영업시간 월~금 10:30 ~ 18:30 토일 10:30 ~ 20:30,"
깔끔하고, 다양한, 예쁜, 맛있는, 편안하고, 테라스, 라떼, 디저트, 시그니처, 와인, 미팅, 넓은공간, 노트북, 단체모임, 스터디카페"
해방촌 혼고,"육류,고기",4.5,91,"서울 용산구 신흥로 89 1층
(지번) 용산동2가 17",37.54564414,126.9854511,070-4067-4624,"부채살 (16,900원), 닭목살 (14,900원), 오늘의 추천 소고기 (19,900원), Single set 소고기+닭고기+하이볼 (39,000원), Double set 소고기 300g+와인1병 (79,000원)","월,수,목 17:00 ~ 22:00 금,토,일 17:00 ~ 24:00","친절한, 가성비좋은, 아늑하고, 귀여운, 맛있는, 와인, 샐러드, 꼬치, 하이볼, 부채살, 특별한날, 데이트하기좋은, 저녁식사, 술한잔, 데이트코스"
한담곱창,"곱창,막창",4.5,68,"서울 용산구 새창로 209 1층
(지번) 한강로2가 2-194",37.53067463,126.9670075,02-794-0636,"곱창모듬 250g 23,000원
소곱창 250g 24,000원
소대창 250g 23,000원
소막창 250g 23,000원",월~토 16:00 ~ 22:50,"
깔끔한, 친절한, 신선한, 맛있는, 고소한, 소대창, 순두부라면, 김치말이국수, 볶음밥, 소곱창, 술한잔, 접근성, 평일저녁, 가성비, 태블릿"
사랑방 참숯화로구이,"육류,고기",4.5,64,"서울 용산구 신흥로36길 4
(지번) 후암동 415-39",37.54642624,126.9817892,02-774-5950,"갈비살 (1인분) (30,000원), 돼지갈비 (1인분) (17,000원), 돼지목살 (1인분) (17,000원), 삼겹살 (1인분) (17,000원), 냉면 (6,000원)","영업시간 월,수,목,금,토,일 16:00 ~ 22:00","친절한, 특별한, 맛있는, 노포, 기분좋게, 돼지갈비, 냉면, 목살, 삼겹살, 돼지갈비, 가성비, 단체모임, 저녁식사, 데이트코스, 평일저녁"
라카페갤러리,갤러리카페,4.7,245,"서울 종로구 자하문로10길 28 1층
(지번) 통의동 10",37.57929426,126.9730281,02-379-1975,"제주 한라'봄'티(계절담은차) (9,000원), 사과에이드(블루피노) (7,500원), 맥주 7종(8,000~12,000) (8,000원), 와인 3종(35,000~55,000) (35,000원), 에스프레소 (5,000원), 에스프레소 콘파냐 (6,000원), 아메리카노 (6,000원), 카푸치노 (6,000원), 카페라떼 (7,000원), 카페모카 (8,000원), 핫초코 (7,500원), 허브티(7,000~8,000원) (7,000원), 우리밀 샌드위치 (9,500원), 라따뚜이 (15,000원), 리코타 치즈 샐러드 (13,000원), 오렌지 파운드&수제생크림 (5,000원), 초코 컵케이크&수제생크림 (5,000원)","화~일 11:00–21:00, 월요일 정기휴무","조그마한,작은공간,여유로움,예쁜,편안함,카페,나들이,데이트,데이트코스,문화생활,추억"
핏제리아오,피자,4.7,97,"서울 종로구 동숭길 86 2-3층
(지번) 동숭동 31-37",37.5820958,127.0043262,02-3673-5005,"마르게리따 부팔라 (19,900원), 스텔라 (29,900원), 랍스타 핏자 (55,900원), 연어 핏자[R] 세계 1위 핏자 (24,000원), 오'핏자 (21,500원), 콰트로 풍기 (19,900원), 콰트로 포르마지 (19,900원), 빠따떼 (17,900원), 마르게리따 (16,900원), 따루투피(트러플 비스마르크) (59,000원), 나폴리 오'핏자 (24,900원), 프로슈토 에 루꼴라 (23,900원), 은두야 (22,900원), 푸타네스카 (23,000원), 감베리 로제 크레마 (21,900원), 까르보나라 (20,900원), 알리오 올리오 (19,900원), 리코타 샐러드 (17,900원), 깔라마리 (17,900원)",영업시간 매일 11:30 ~ 22:00,"근사한,분위기있는,데이트하기좋은,친절한,맛있는,tv방영,초코피자,피자,파스타,방송출연,시그니처,연말모임,나들이,단골,저녁식사,평일저녁"
봉쥬떡볶이,떡볶이,4.6,274,"서울 종로구 대명길 4 지하1층
(지번) 명륜2가 24-4",37.58380168,127.0011827,02-745-3885,"버터갈릭감자튀김 세트 (20,000원), 즉석떡볶이 (7,500원), 치킨가라아게 세트 (20,000원), 모둠튀김 세트 (20,000원)","화~금 11:30–20:50 (브레이크타임 15:30–16:30, 라스트오더 20:00), 토~일 11:30–21:50 (라스트오더 21:00), 월요일 정기휴무","맛있는,깔끔하고,깔끔한,친절한,가성비좋은,분식,떡볶이,즉석떡볶이,매운음식,매운맛,데이트,접근성"
대하식당,"육류,고기",4.6,183,"서울 종로구 자하문로7길 27 1층
(지번) 체부동 17",37.57894209,126.9704832,02-734-9503,"삼겹살 (600g) (40,000원)",영업시간 월~토 16:00 ~ 22:00,"노포,오래된,맛있는,친절한,가성비좋은,고기집,삼겹살,볶음밥,된장찌개,생삼겹살,신선한,단체모임,외식"
스쿠퍼젤라또,아이스크림,4.6,58,"서울 종로구 자하문로7길 10 1층
(지번) 통인동 158",37.5783831,126.9711848,0507-1333-7623,"컵 (두가지 맛) (5,500원), 콘 (두가지 맛) (5,500원), 삐콜로 (두가지 맛) (15,500원), 메디오 (세가지 맛) (21,000원), 그란데 (네가지 맛) (30,000원)",영업시간 매일 12:00 ~ 21:00,"데이트,달달한,귀여운,특이한,핫한,패션후르츠,피스타치오,초콜렛,아이스크림"
더우리곱창,"곱창,막창",4.7,454,"서울 종로구 종로36나길 9
(지번) 종로5가 225-8",37.57021469,127.0044286,02-2266-8125,"야채곱창 (12,000원), 양념(알)곱창 (12,000원), 곱창소금구이 (12,000원), 막창양념구이 (15,000원), 막창소금구이 (15,000원), 순대곱창 (15,000원), 모듬구이 (15,000원)",영업시간 매일 10:00 ~ 22:00,"매콤한,친절한,맛있는,신선한,가성비좋은,소금구이,시장,곱창골목,돼지곱창,단체모임,술한잔,단골집,저녁"
김진목삼,삼겹살,4.5,207,"서울 종로구 자하문로1길 56 1층
(지번) 필운동 164",37.57715283,126.9695312,02-929-2929,"통목살 (18,000원), 통삽겹살 (18,000원), 통항정살 (20,000원), 돼지김치찌개 (6,000원), 된장찌개 (6,000원), 물냉면 (6,000원), 비빔냉면 (6,000원)",영업시간 매일 15:00 ~ 23:00,"맛있는,깔끔하고,깔끔한,친절한,편하게,고기,김치찌개,목살,삼겹살,통삼겹,저녁,단체모임,외식,단골집"
국시랑만두,국수,4.5,72,"서울 종로구 자하문로 276 1층
(지번) 부암동 175-1",37.59820751,126.9623855,02-395-4929,"김치만두전골 (19,000원), 김치손만두국 (13,000원), 국시 (12,000원), 고기손만두국 (12,000원), 고기만두전골 (18,000원), 떡만두 (8,000원), 칼만두 (8,000원), 접시만두 (13,000원), 보쌈 대 (50,000원), 문어 (40,000원), 콩국수 (14,000원), 모밀국수 (13,000원), 국수전골 (23,000원), 한우국수전골 (35,000원), 한우샤브샤브 (44,000원), 보쌈 중 (44,000원), 샤브샤브 (27,000원), 해물파전 (23,000원)","영업시간 화~일 11:30 ~ 21:30, 휴게시간 16:00 ~ 17:00","화려한,깔끔하고,담백한,매콤한,맛있는,만두,만두전골,김치만두,고기만두,나들이,신선한,단골,혼자갈만한,가성비"
한가네불고기,"불고기,두루치기",4.5,65,"서울 종로구 인사동길 59 지하1층
(지번) 관훈동 144",37.5751462,126.9833857,02-734-4388,"한정식 (14,000원), 불고기 정식 (19,000원), 떡갈비 정식 (18,000원), 양념 게장 정식 (19,000원), 돼지 불고기 정식 (18,000원)",월~금 11:00–20:00,"가성비좋은,푸짐한,맛있는,친절한,적당한,막걸리,불고기,단골집,저녁식사,단체모임,점심식사"
반짝반짝빛나는,전통찻집,4.5,54,"서울 종로구 인사동길 28-1 2층
(지번) 관훈동 6-1",37.57328293,126.9861102,02-738-4525,"매실차 (6,000원), 유자차 (6,000원), 국화차 (7,000원), 생강차 (7,000원), 대추차 (7,000원), 단호박라떼 (7,000원), 쑥라떼 (7,000원)",영업시간 매일 12:00 ~ 23:00,"조용한,친절한,여유로움,데이트하기좋은,차,전통차,한과,다도"
쇠고집,"육류,고기",4.5,96,"서울 종로구 인사동3길 5-2
(지번) 인사동 141-2",37.57184939,126.9864006,010-4040-4940,"삼겹 100g당 (9,000원),등심 (200g) (25,000원),토시살 (200g) (22,000원),갈비살 (200g) (22,000원),삼겹살 (200g) (18,000원),대패삼겹 김치찌개 (13,000원),등심 100g (12,500원),토시 100g (11,000원),갈비살 100g (11,000원)",영업시간 월~금 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,"가성비좋은,친절한,맛있는,편하게,김치찌개,삼겹살,토시살,등심,단체모임,저녁식사"
경복궁식당,한식,5,753,"서울 종로구 사직로 101 지하1층
(지번) 필운동 211",37.57630322,126.9700007,02-725-6561,"만두전골 (10,000원), 버섯전골 (10,000원), 불고기전골 (10,000원), 감자탕 (11,000원), 부대찌개 (11,000원), 소불고기전골 (12,000원), 오삼불고기전골 (12,000원), 안동찜닭 (12,000원)","수~월 11:00–21:00 (브레이크타임 15:00–16:30, 라스트오더 20:00), 화요일 정기휴무","맛있는,친절한,건강한,깔끔한,건강하게,전걸,소불고기전골,부대찌개,만두전골,단체모임,단체회식,가족과함께,든든한식사"
장수하늘소(Korean BBQ),"육류,고기",4.6,756,"서울 종로구 인사동길 34-1 인사아트프라자 지하1층
(지번) 관훈동 21",37.57385797,126.9856095,02-735-9929,"투뿔 NO.9 장수꽃등심 (59,000원), 장수한우편백찜 (29,900원), 장수한우샤브 (21,900원), 투뿔 NO.9 장수등심 (45,900원), 장수한우불고기전골 (25,900원), 투뿔 NO.9 장수채끝 (57,000원), 투뿔 NO.9 장수살치 (65,000원), 장수한우차돌샤브 (27,900원), 장수한우철판불고기 (23,900원), 장수한우육회비빔밥 (15,000원), 장수한우미역국 (13,000원), 장수한우 육회 (29,000원)",영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 16:30,"친절한,맛있는,신선한,가성비좋은,다양한,한우,콜키지,와인,소고기,갈비찜,프라이빗룸,단체모임,점심식사,데이트코스,넓은공간"
커피원,디저트카페,4.6,306,"서울 종로구 새문안로3길 12 신문로빌딩 지하 1층
(지번) 신문로1가 238",37.57131882,126.9729446,02-722-4984,"바나나푸딩 (5,000원), 아메리카노 (1,500원), 카페라떼 (2,500원), 다방커피 (3,500원), 콜드브루 (3,500원), 스페셜티커피 (3,000원), 헤이즐넛아메리카노 (3,000원), 바닐라라떼(파우더) (3,500원), 헤이즐넛라떼 (3,500원), 샹그리아에이드 (4,500원), 아인슈페너 (4,500원), 솔트라떼 (4,500원), 쑥크림라떼 (5,000원), 코코넛 크림라떼 (5,000원), 브레드 푸딩 (5,500원), 샌드위치 단품 (6,000원), 크림빵 (3,500원), 쿠키 (3,800원), 휘낭시에 (2,500원)",영업시간 월~금 07:00 ~ 17:00,"친절한,맛있는,다양한,달달한,신선한,커피,얼그레이,치킨샌드위치,피스타치오,쿠키,브레드,가성비,브런치"
가비아노,커피전문점,4.5,52,"서울 종로구 대학로 122 흥사단건물 2층
(지번) 동숭동 1-28",37.58218888,127.0022496,02-743-0794,"아메리카노 (4,500원)","영업시간 월,화,수,목,일 12:00 ~ 23:00","분위기좋은,편안한,친절한,조용한분위기,카페,도지마롤,단체모임,접근성,쇼파"
