이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,한줄평
장지녕간장게장 한남점,"게,대게",3.4,354,"서울 용산구 독서당로 46 한남아이파크 지하1층 101호
(지번) 한남동 828",37.53238119,127.0072578,02-794-7737,"명품알배기(1인) (35,000원), 간장게장(1인) (20,000원), 생선구이(2인) (35,000원), 불쭈꾸미(2인) (15,000원), 불삼겹(2인) (15,000원), 냉수육백반(2인) (15,000원), 안주냉수육 (소) (25,000원)",매일 11:30 ~ 22:00,깔끔하고 아늑한 분위기의 간장게장이 맛있고 양이 많은게 특징인 한남동 인근의 한식집
대원식당,"해물,생선",4.3,127,"서울 용산구 한강대로62나길 16-1 1층
(지번) 용산동3가 1-64",37.53434649,126.9747089,02-795-1087,"생선구이백반 (11,000원), 두루치기 (18,000원), 대구뽈찜 (40,000원)",영업시간 월~토 11:00 ~ 21:00 · 휴게시간 월~토 15:30 ~ 17:30,노포 느낌의 생선구이가 맛있고 연탄불에 굽는게 특징인 삼각지역 인근의 백반집
나리의집,삼겹살,3.4,321,"서울 용산구 이태원로 245 1층
(지번) 한남동 738-24",37.53690831,127.0000401,02-793-4860,"삼겹살 (15,000원), 청국장 (7,000원), 된장찌개 (7,000원), 순두부찌개 (7,000원), 김치섞어찌개 (7,000원)",월~토 14:00 ~ 24:00,노포느낌의 냉삼이 맛있고 사이드 메뉴도 유명한 한남동 인근의 돼지고기집
오근내2닭갈비,닭요리,3.1,733,"서울 용산구 한강대로11길 13 1층
(지번) 한강로3가 40-9",37.52508771,126.9628026,02-798-0131,"닭갈비 (15,000원), 메밀비빔막국수 (9,000원), 메밀물막국수 (9,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:30 ~ 16:40,북적북적한 분위기의 닭갈비와 막국수가 맛있고 웨이팅이 있는 용산역 인근의 닭갈비집
팟카파우,태국음식,4.7,247,"서울 용산구 신흥로 97-6 2층
(지번) 용산동2가 1-510",37.54519401,126.9848677,070-8880-2521,"팟카파우 (돼지고기) (12,000원), 카오팟 (돼지고기) (12,000원), 쏨탐타이 (13,000원), 팟타이 (14,000원), 카우똠(돼지고기) (12,000원), 카우 무 끌라티암 (12,000원), 똠양꿍 (20,000원), 쏨땀쁠라라 (16,000원), 얌카이다우 (15,000원), 팟키마우 (17,000원), 팟씨유 (12,000원), 꾸아이 띠아이 무 (12,000원), 꾸아이 띠아우 행 (12,000원), 팍붕파이댕 (11,000원), 팟카나 (11,000원)",영업시간 월~토 12:00 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:00,아기자기한 분위기의 쏨땀이 맛있고 흑백요리사에 출연한 현지 셰프가 운영하는게 특징인 해방촌에 있는 태국음식점
르몽블랑,디저트카페,4,245,"서울 용산구 신흥로 99-4 1층
(지번) 용산동2가 1-91",37.54490876,126.9848572,070-8887-8200,"에스프레소 (4,000원), 아메리카노 (5,000원), 카페라떼 (6,500원), 패션오렌지 (8,000원), 딸기우유 (7,500원), 크림라떼 (7,000원), 모카 (7,000원)",영업시간 화~일 12:00 ~ 20:00 정기휴무 월,아기자기한 분위기의 디저트가 맛있는 뷰가 좋은 해방촌 인근의 카페
치즈플로 한남점,양식,4.2,153,"서울 용산구 이태원로49길 19
(지번) 한남동 744-2",37.53698075,126.9994426,02-794-7010,"마리네이드 올리브&레지아노 (14,000원), 치즈 플레이트 (2종) (25,000원), 살루미 플레이트 (2-3인) (38,000원), 채끝 등심 스테이크 (39,000원), 그랜드 플레이트(4-5인) (59,000원), 부라타치즈샐러드 (25,000원), 얼린염소치즈와 배 (18,000원), 허브 입힌 양고기 커틀릿 (39,000원), 해산물그라탕 (43,000원), 포카치아 디 레코 (17,000원)","영업시간 화~금 11:45 ~ 22:00, 토일 12:00 ~ 21:00 월 정기휴무",아늑한 분위기의 치즈가 맛있고 수제 치즈를 사용하는게 특징인 한강진역 인근의 양식 전문점
파브리키친,이탈리안,4.1,376,"서울 용산구 한강대로15길 23-6 1층
(지번) 한강로3가 40-174",37.52614835,126.962751,070-7576-4830,"PPP파스타 (17,000원), 필레뜨 디 마얄레 알레 에르베 (23,000원), 스페차티노 디 만조 (23,000원), 포모도로 파스타 (16,000원), 파스타 리모네 에 감베리 (18,000원), 리조또 아이풍기 (17,000원), 리조또 알라 페스카토라 (18,000원), 파타테 에 프로볼라 (11,000원), 판자넬라 디 뽈포 (12,000원), 콥파 쵸고라또 에 푸루따 (8,000원), 판나코타 (8,000원), 파브리키친 샐러 (11,000원), 살시챠 까르보나 (18,000원), 라구파스타 (18,000원), 폴로 알라 핏짜이올라 (23,000원), 치즈플래터 (14,000원), 뽈뻬떼 (13,000원), 닷테리케이크 (8,000원)",매일 11:30 ~ 21:30 · 휴게시간 매일 14:30 ~ 17:00,여유로운 분위기의 PPP 파스타가 맛있고 흑백요리사에 출연한 셰프가 운영하는게 특징인 용산역 인근의 양식 전문점
일신기사식당,기사식당,3,54,"서울 용산구 효창원로 218 1층
(지번) 청파동2가 1-146",37.54666431,126.9636205,02-713-8423,"순두부 (6,000원), 비빔밥 (6,000원), 삼계탕 (7,000원), 대구매운탕 (8,000원), 불고기백반 (8,000원), 돼지불고기 (가격정보 없음)",영업시간 월~토 06:30 ~ 20:20,노포 느낌의 백반이 맛있고 가성비가 좋은 효창동 인근의 기사식당
쌍대포 본점,"육류,고기",3.7,226,"서울 용산구 청파로 291 1층
(지번) 청파동2가 95",37.54558365,126.9700118,02-707-1380,"일삼꼬들 (160g) (18,000원), 생삼겹 (160g) (16,000원), 특삼겹너덜이 (180g) (20,000원), 생오겹살 (160g) (16,000원), 대구막창 (150g) (16,000원), 소갈비살 (150g) (16,000원), 항정살 (160g) (18,000원), 한방껍데기 (2장) (8,000원), 통갈매기살 (160g) (18,000원), 양념돼지갈비 (200g) (16,000원), 꼬치소면찌개 (12,000원), 차돌된장밥 (10,000원), 순두부찌개(소) (6,000원), 순두부찌개(대) (10,000원), 생고기김치찌개(소) (6,000원), 생고기김치찌개(대) (10,000원), 차돌된자찌개 (5,000원), 계란말이(치즈,부추) (12,000원), 계란찜(원조/콘치즈) (6,000원), 된장라면 (5,000원)",매일 09:00 ~ 22:50,노포 느낌의 돼지고기가 맛있고 살얼음 소주를 파는게 특징인 숙대 입구역 인근의 돼지고기집
부다스벨리,태국음식,4.4,125,"서울 용산구 녹사평대로40길 48 지하1층,1,2층
(지번) 이태원동 457-1",37.5343916,126.9883773,1666-2753,"Pad Kaprow Gai (22,000원), Tod Man Goong(2pc) (7,700원), Massaman Curry Gai (19,800원), Pad Pak Bung Faidang (16,500원), Pad Kaprow Muu (22,000원), Kana Muu Grub (24,200원), Pra Goong (34,100원), Poo Nim Pad Pong Garee (L) (34,100원), Pla Nuang Manow (37,400원), Som Tam(M) (16,500원), Tom Yam Goong (18,700원), Pla Tod Yam (38,500원)",일~목 11:30 ~ 22:00 금토 11:30 ~ 23:00 · 휴게시간 매일 15:00 ~ 16:30,이국적인 분위기의 쏨땀이 맛있고 현지 느낌이 나는 이태원에 위치한 태국 전문 음식점
이이네,일본식라면,4.2,391,"서울 용산구 소월로2길 37 1층
(지번) 후암동 446-43",37.55328753,126.9767114,0507-1420-9787,"소유라멘 (12,500원), 규동 (14,000원)",영업시간 월~금 11:30 ~ 20:30 토 11:30 ~ 17:00 · 휴게시간 월~금 14:30 ~ 17:30,깔끔한 분위기의 라멘이 맛있고 데이트 하기 좋은 후암동 라멘집
삼각지원대구탕 본점,"매운탕,해물탕",3.1,45,"서울 용산구 한강대로62가길 8-1 1-2층
(지번) 한강로1가 142-1",37.53468364,126.9742887,02-797-4488,"대구탕 (1인분) (14,000원), 내장탕 (1인분) (14,000원), 맑은탕 (1인분) (14,000원), 대가리탕 (3~4인분) (55,000원), 대구튀김 (20,000원)",영업시간 화~일 10:00 ~ 22:00 정기휴무 월,노포 느낌의 대구탕이 맛있고 미나리가 들어가는게 특징인 삼각지역 인근의 대구탕집
오근내닭갈비 용산본점,닭요리,3.8,463,"서울 용산구 이촌로29길 15 1층
(지번) 한강로3가 40-90",37.52452321,126.9597156,02-797-0131,"닭갈비 (15,000원), 메밀비빔막국수 (9,000원), 메밀물막국수 (9,000원), 감자전병 (7,000원), 계란찜 (6,000원), 치즈계란찜 (9,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:30 ~ 16:30,북적북적한 분위기의 닭갈비와 막국수가 맛있고 웨이팅이 있는 용산역 인근의 닭갈비집
아이오유,이탈리안,3.7,205,"서울 용산구 원효로1길 16
(지번) 청암동 164",37.53516407,126.9456245,02-3275-1151,"Dinner - Chef's Course (138,000원), Lunch - Special Course (78,000원), Dinner - Wine Pairing (변동가격)",매일 11:00 ~ 22:30 · 휴게시간 매일 14:30 ~ 17:30,아늑한 분위기의 코스요리가 맛있고 층고가 낮지만 뷰가 예쁜 청암동에 위치한 양식당
야상해,중식,4.4,118,"서울 용산구 이태원로23길 6 1층
(지번) 이태원동 119-16",37.53480497,126.9927959,02-749-8666,"토마토계란볶음 (15,000원), 어향가지 (15,000원), 상해식 동파육 (20,000원), 마파두부 (15,000원), 계란새우볶음밥 (15,000원), 소룡보 (8,000원), 부추만두 (8,000원), 새우만두 (9,000원), 사천소면 (8,000원), 굴소스청경채볶음 (9,000원), 공기밥 (2,000원)",영업시간 화~일 12:00 ~ 21:40 휴게시간 15:00 ~ 17:00,아담하고 이국적인 분위기의 딤섬이 맛있고 매운맛 조절이 가능한 이태원에 위치한 중식당
정,중국요리,3.7,218,"서울 용산구 청파로47나길 4 2층
(지번) 청파동2가 67-6",37.54504812,126.9670514,02-719-8719,"옛날짬뽕 (8,000원), 굴짬뽕 (11,000원), 중국식냉면 (11,000원), 짜장면 (6,500원), 볶음밥 (7,500원), 새우볶음밥 (8,500원), 고추짜장 (7,000원), 옛날짜장 (7,000원), 게살볶음밥 (10,000원), 유니짜장 (9,000원), 쟁반짜장(2인) (16,000원), 마파두부밥 (8,000원), 간짜장 (7,500원), 잡채밥 (9,000원), 고추간짜장 (8,000원), 송이덮밥 (9,000원), 삼선짜장 (8,500원), 고추잡채밥 (11,000원), 삼선고추짜장 (9,000원), 완자밥 (12,000원), 짜장밥면 (7,500원), 잡탕밥 (15,000원), 고추짬뽕 (8,000원), 삼선짬뽕 (11,000원), 삼선우동 (11,000원), 삼선울면 (11,000원), 홍소탕면 (11,000원), 볶음짬뽕 (8,000원), 짬뽕 (7,500원), 삼선볶음밥 (8,500원), 유산슬밥 (14,000원)",영업시간 화~일 11:00 ~ 21:00 휴게시간 화~일 14:30 ~ 16:30,노포 느낌의 매운 탕수육이 맛있고 가성비가 좋은 청파동에 위치한 중식당
한입소반 숙대본점,분식,3.4,333,"서울 용산구 청파로45길 3 1층
(지번) 청파동3가 24-50",37.54410059,126.9703138,02-701-4417,"묵은지참치김밥 (6,000원), 소고기김밥 (7,000원), 직화제육김밥 (7,000원), 크림치즈김밥 (6,000원), 매콤멸치김밥 (6,000원), 충무김밥 (8,000원), 한입김밥 (4,000원), 시래기김밥 (6,000원), 참치김밥 (6,000원), 삼겹한쌈김밥 (7,000원), 와사비게살마요김밥 (6,000원), 오징어채김밥 (6,000원), 마라묵은지김밥 (5,000원)",영업시간 매일 07:00 ~ 19:00,깔끔한 느낌의 묵은지참치김밥이 맛있고 전참시에 나온 김밥집
오복함흥냉면,냉면,3.4,155,"서울 용산구 한강대로84길 4 1층
(지번) 남영동 61-3",37.5434897,126.9728763,02-703-6357,"회냉면 (12,000원), 비빔냉면 (11,000원), 물냉면 (11,000원), 만두 (8,000원)","영업시간 월,수,목,금,토,일 11:00 ~ 20:30",따뜻한 분위기의 회냉면이 맛있고 골목식당에 나온 숙대입구역 인근의 냉면집
창성옥 용문본점,해장국,3.6,201,"서울 용산구 새창로 124-10
(지번) 용문동 25-16",37.53639044,126.9604102,02-718-2878,"해장국 (10,000원), 뼈전골 (중) (29,000원)",매일 06:00 ~ 23:00,노포 느낌의 해장국이 맛있고 백년가게로 선정된 용문동 인근에 위치한 국밥집
이진칸,일본식주점,4.1,26,"서울 용산구 보광로 124 3층
(지번) 이태원동 131-3",37.5338499,126.9943033,02-794-2805,"모듬사시미 (2인) (49,000원), 모듬사시미 (3인) (68,000원), 모듬사시미 (4인) (87,000원), 니싱(청어) (18,000원), 시메시바(고등어초절임) (20,000원), 히라메+사케(광어+연어) (28,000원), 혼마구로(혼다랑어등살) (35,000원), 타이(도미) (30,000원), 문어초회 (20,000원), 간장육회 (20,000원), 소고기타다끼 (21,000원), 참치타다끼 (25,000원), 시사모구이 (16,000원), 메로구이 (25,000원), 이진칸 스키야끼 (25,000원), 해물계란탕 (20,000원), 오뎅탕 (21,000원), 나가사키짬뽕 (21,000원), 카이센나베 (22,000원), 이진칸치즈불닭 (23,000원), 문어가라아게 (22,000원), 치킨가라아게 (19,000원), 모듬고로케 (17,000원), 칠리새우 (20,000원), 망고쉬림프 (20,000원), 민물장어튀김 (25,000원), 해물볶음우동 (19,000원), 로제파스타 (19,000원), 명란크림우동 (19,000원), 모찌도후리 (9,000원), 소라와사비 (9,000원), 타코와사비 (9,000원), 아마애비(단새우) (25,000원)",매일 17:30 ~ 03:00,편안한 느낌의 사시미가 맛있고 데이트 하기 좋은 이태원에 위치한 이자카야
섬집,한식,3.7,346,"서울 용산구 한강대로14길 8 2-4층
(지번) 한강로3가 65-156",37.5249351,126.964688,02-794-0087,"간장게장 (39000), 와다비빔밥 (12000), 참겍꽃게매운탕(52000), 섬집육전(28000)",월~토 11:30 ~ 21:50 · 휴게시간 월~토 15:00 ~ 17:00,깔끔한 분위기의 간장게장과 꽃게탕이 맛있고 풍자 유튜브에 나온 신용산역 인근의 한식당집
케르반베이커리,"제과,베이커리",3.6,16,"서울 용산구 이태원로 208 1층
(지번) 한남동 736-11",37.53454053,126.9970562,02-790-5585,"카이막1인세트 (11,000원), 바클라와 (2,500원), 시미트 (2,500원), 플레인 포하차 (3,000원), 치즈 포하차 (3,500원), 바클라바 레귤러 （6pcs） (12,000원), 바클라바 믹스 （9pcs） (18,000원), 바클라바 라지 （Mix） (24,000원), 터키쉬 딜라이트（로쿰） 100gr (6,000원), 터키쉬 딜라이트（로쿰） 200gr (12,000원)",일~목 10:00 ~ 22:00 금토 10:00 ~ 18:00,이국적인 분위기의 카이막이 맛있고 매장이 아기자기한 이태원에 위치한 빵집
강가네맷돌빈대떡,"호프,요리주점",3.6,120,"서울 용산구 대사관로24길 27 1층
(지번) 한남동 641-9",37.53252211,127.0054482,02-792-1967,"강가네녹두빈대떡 (17,000원), 김치냉국수 (7,000원), 모듬전 (32,000원), 왕새우전 (20,000원), 한우육전 (25,000원), 감자전 (17,000원), 김치전 (15,000원), 해물파전 (23,000원), 고추장찌개 (25,000원), 목살김치찌개 (25,000원), 두부김치 (23,000원), 오삼볶음 (30,000원), 목살두루치기 (25,000원), 오돌뼈 (17,000원), 청어알두부쌈 (20,000원), 머릿고기(편육) (20,000원), 도토리묵 (15,000원), 강가네양푼밥 (6,000원), 어리굴젓 (7,000원), 고기 빈대떡 (20,000원), 오징어볶음 (25,000원), 골뱅이소면 (25,000원), 묵사발 (17,000원)",월~토 16:00 ~ 02:00,
케르반레스토랑,튀르키예음식,3.5,41,"서울 용산구 이태원로 192 1층
(지번) 이태원동 127-2",37.53436685,126.9953719,02-792-4767,"닭고기 쉬시 케밥 (22,500원), 양고기 쉬시 케밥 (26,500원), 믹스 쉬시 케밥 & 버팔로 윙 (31,000원), 치킨 샐러드 (17,900원), 카이막 & 피데 (19,900원)",매일 11:00 ~ 22:00,
화양연가,"육류,고기",4.5,45,"서울 용산구 한강대로 262-1
(지번) 남영동 88-5",37.54175878,126.9732317,02-795-9049,"양갈비 (200g) (21,000원), 양전골 (200g) (20,000원), 쌀국수 (3,000원), 열무국수 (3,000원)",월~금 14:30 ~ 22:30,
트래버틴,커피전문점,3.4,182,"서울 용산구 한강대로7길 18-7
(지번) 한강로3가 40-317",37.52487457,126.9620784,070-8862-6003,"필터커피 (변동가격), 화이트 (6,500원), 블랙 (5,800원), 바닐라 화이트 (6,800원), 오틀리 화이트 (6,800원), 오틀리 모카 (7,300원), 오틀리 카푸치노 (7,000원), 솔티드 오트 크림 (7,300원), 말차 화이트 (7,300원), 레몬 마테티 (7,300원), 청포도 소다 (7,300원)",영업시간 매일 11:00 ~ 20:30,
털보네떡꼬치,분식,4,133,"서울 용산구 한강대로 291-1
(지번) 갈월동 87-15",37.54425283,126.9720412,02-704-8425,"떡꼬치 (1,000원), 양념오뎅 (1,000원), 순대꼬치 (1,000원), 김마리 (1,000원), 메추리꼬치 (1,000원), 소떡소떡 (2,500원)",영업시간 월~토 14:00 ~ 20:00,
패션5 한남점,"제과,베이커리",3,157,"서울 용산구 이태원로 272 SPC빌딩 1층
(지번) 한남동 729-74",37.53871182,127.0020751,02-2071-9505,"딸기 일등롤 (31,000원), 라즈베리N딸기 베린느 (7,700원), 에그 고로케 (4,600원), 오! 파이 선물세트 （9EA） (18,000원), 햄치즈 라미장 바게뜨 샌드위치 (13,900원), 2가지맛 믹스 샌드위치 (9,900원), 카프레제 포카차 샌드위치 (15,900원), 치킨텐더 콥 샐러드 (16,900원), 베이컨N포르치니 크림 파스타 (15,900원), 홍게살N꽃맛살 로제 파스타 (16,900원), 스모어 브라우니 타르트 (4,700원), 보슬보슬 수건 케이크 (10,300원), 마시멜로 딸기시리얼 쫀득 쿠키(3EA) (9,300원), 마시멜로 아몬드비스킷 쫀득 쿠키(3EA) (9,300원), 마시멜로 초코시리얼 쫀득 쿠키(3EA) (9,300원), 럽럽 봉봉 세트 (12구) (47,000원), 럽럽 봉봉 세트 (8구) (32,000원), 럽럽 봉봉 세트 (4구) (17,000원), 달콤 로쉐 초콜릿 세트 (17,000원), 클래식 버터 스콘 (4,600원), 크랜베리 다즐링 스콘 (4,600원), 화이트초콜릿 무화과 스콘 (4,600원), 눈에 띄네, 로열 아이싱 스콘 (5,600원), 쇼콜라 프랑브아즈 바통 피낭시에 (4,100원), 코코넛 바통 피낭시에 (4,100원), 플로랑땡 바통 피낭시에 (4,100원), 두바이st 스콘 (7,600원), 바닐라 까눌레 (4,900원), 딸기 까눌레 (4,900원), 두바이st 까눌레 (5,900원)",매일 07:30 ~ 22:00,
산동만두,분식,3.6,163,"서울 용산구 후암로28길 10 1층
(지번) 후암동 244-86",37.54986332,126.9778061,02-3789-8285,메뉴 없음,월요일,
돈오리,오리,3.9,162,"서울 용산구 한강대로102길 3 1층
(지번) 동자동 42-9",37.5499446,126.9723275,02-6080-6852,"돈오리정식 (14,000원), 부대찌개 (9,000원), 된장전골 (10,000원), 김치찌개 (9,000원), 유황오리훈제샤브(대) (64,000원), 유황오리훈제샤브(중) (45,000원), 유황오리숙주볶음(대) (42,000원), 유황오리숙주볶음(중) (42,000원), 돈오리별미유황오리냉채(대) (58,000원), 돈오리별미유황오리냉채(중) (42,000원), 훈제샤브고기추가 (38,000원), 제주흑돼지 제육볶음 (10,000원), 칼국수 (4,000원), 볶음밥 (4,000원), 냉면(비빔/물) (10,000원)",월~토 11:00 ~ 21:30 · 휴게시간 월~토 15:00 ~ 17:00,
트로이카,양식,4.1,292,"서울 용산구 이태원로 164-1 5층
(지번) 이태원동 72-33",37.53417207,126.9922396,02-797-7724,"삼사（3pcs） (14,000원), 블린치키 스 먀솜（3pcs） (13,000원), 체부례키（2pcs） (13,000원), 블린치키 스 카푸스토이（3pcs） (11,000원), 라쓰테가이 르브느이（1pcs） (7,000원), 쿠르닉 (13,000원), 올리비에 (15,000원), 쏘테 (15,000원), 시저（치킨 or 새우） (18,000원), 샐료드카 폳 슈보이 (16,000원), 그레체스키 (16,000원), 피칸트느의 (16,000원), 올리브예（연어） (17,000원), 녜프툰 (19,000원), 카르멘 (17,000원), 솔랸카 (16,000원), 오크러쉬카 (14,000원), 보르쉬 (15,000원), 펠메니 스 불료놈 (13,000원), 쿠리느이 숲 스 랍셔이 (14,000원), 우하 (14,000원), 카르토펠 스 그리바미 (13,000원), 호밀빵 (4,000원), 그레치카 (6,000원), 카르토펠 프리 (6,000원), 카르토펠노에 퓨레 (8,000원), 리스 (3,000원), 카르토펠 아이다하 (7,000원), 오보쉬 그릴 (11,000원), 샤실륵（닭고기） (19,000원)",매일 12:00 ~ 23:00,
아노브 이태원본점,피자,4.4,35,"서울 용산구 이태원로20가길 7-5 1층
(지번) 이태원동 74-34",37.53372474,126.9924249,0507-1428-6606,"반반피자 (27,000원), T.P.R 피자 (29,000원), 런치세트 (15,000원), 갈릭바베큐치킨피자🔥🔥🔥 (27,000원), 화이트트러플머쉬룸피자 (27,000원), X.O 크럼블 쉬림프 피자🔥 (32,000원), 베이컨하와이안피자 (26,000원), 투머치페퍼로니피자🔥 (25,000원), 몬스터올리브피자 (25,000원), 콰트로치즈피자 (24,000원), 베이컨크림파스타 (17,000원), 아노브엔쵸비파스타🔥 (17,000원), 쉬림프로제파스타 (18,000원), ""시즌 한정 메뉴"" 샐러드파스타 (15,000원), 프렌치 프라이즈 (6,000원), 버팔로윙 5pcs (7,000원), 알감자 프라이즈(트러플 오일,꿀) (8,000원), 로메인시저샐러드 (12,000원), 양송이 프라이즈 (9,000원), 코코넛쉬림프 프라이즈 (6,000원)",매일 12:00 ~ 21:30 · 휴게시간 월~금 15:00 ~ 17:00,
콤포타블 남산,카페,4.3,627,"서울 용산구 두텁바위로60길 49 대원정사 별관 4층
(지번) 후암동 358-17",37.54924876,126.9833547,070-8804-6501,"그랑핸드 (7,000원), 남산 (7,000원), 아메리카노 (4,500원), 라떼 (5,000원)",매일 10:00 ~ 22:00,
