이름,평점,리뷰수,주소,전화번호,메뉴,리뷰
크래버대게나라 강남점,4.2,375,"서울 강남구 언주로 620 현대인텔렉스빌딩 1층
(지번) 논현동 261",02-547-7998,"대게 코스 (1kg) (변동가격), 킹크랩 코스 (1kg) (변동가격), 랍스타 코스 (1kg) (변동가격)",후기 없음
평양면옥,3.2,176,"서울 강남구 논현로150길 6 1층
(지번) 논현동 66-2",02-549-5378,"제육 (34,000원), 제육반 (17,000원), 편육 (37,000원), 편육반 (19,000원), 냉면 (15,000원), 온면 (15,000원), 만두국 (15,000원), 비빔냉면 (15,000원), 접시만두 (15,000원), 접시만두반 (8,000원), 제육반 편육반 (36,000원), 불고기 (38,000원), 어복쟁반 大 (100,000원), 어복쟁반 小 (60,000원)",후기 없음
큰물참치 강남점,4.0,149,"서울 강남구 테헤란로2길 27 패스트파이브빌딩 1층 102호
(지번) 역삼동 826-26",02-538-2979,"실버 (45,000원), 골드 (58,000원), 다이아몬드 (80,000원), 프리미엄 (100,000원), 로얄 (130,000원), 특정식 (43,000원), 정식 (33,000원), 초밥 (20,000원), 회덮밥 (12,000원)",후기 없음
백마김씨네 도곡점,4.4,75,"서울 강남구 남부순환로 2743 지하1층,1-3층
(지번) 도곡동 180-1",02-579-7113,"양념갈비 정식 (54,000원), 생갈비 정식 (65,000원), 한우 불고기 정식 (47,000원), 꽃등심 (78,000원), 생등심 (69,000원), 한우 안심 (83,000원), 눈꽃살 (82,000원), 안창살 (93,000원), 한우 육회 (49,000원), 생갈비 (65,000원), 양념갈비 (54,000원), 한우 불고기 (47,000원), 돼지갈비 (39,000원), 육회 탕탕이 (56,000원), 떡갈비정식 (런치) (48,000원), 떡갈비정식 (디너) (58,000원), 보리굴비 정식 (런치) (48,000원), 양념갈비 정식 (런치) (54,000원), 보리굴비 정식 (디너) (58,000원), 생갈비 정식 (런치) (65,000원), 한우 불고기 정식 (런치) (47,000원), 소고기 샤브 (런치) (48,000원), 소고기 버섯 샤브 (런치) (51,000원), 특 등심 샤브 (65,000원), 특 등심 버섯 샤브 (69,000원), 산 불낙지 전골 (52,000원), 황제 산 불낙지 전골 (60,000원), 한우 생등심 정식 (런치) (69,000원), 한우 모둠 정식 (런치) (78,000원)",후기 없음
하모,3.4,74,"서울 강남구 언주로 819 HB빌딩 2층
(지번) 신사동 627-17",02-515-4266,"진주비빔밥 (19,000원), 헛제사밥 (16,000원), 조선잡채 (45,000원), 육전 (45,000원), 육회 (120g) (50,000원), 석쇠불고기 (50,000원), 차돌박이 구이 (60,000원), 하모반상 (38,000원), 진주반상 (63,000원), 제철반상 (83,000원)",후기 없음
청국장과보리밥 수서점,3.4,151,"서울 강남구 광평로46길 5-5 1-2층
(지번) 수서동 450-4",02-3414-3313,"감자전 (18,000원), 해물파전 (20,000원), 시골보쌈 (중) (43,000원), 청국장과보리밥 (12,000원), 떡갈비정식 (17,000원), 자연채쌈정식 (18,000원), 수육정식 (19,000원), 코다리정식 (22,000원), 보리굴비정식 (27,000원), 모두부 (16,000원), 두부구이 (19,000원), 떡갈비 (20,000원), 철판더덕두루치기 (26,000원), 수육 (28,000원), 코다리더덕구이 (30,000원), 보리굴비 (32,000원), 시골보쌈 (대) (53,000원)",후기 없음
광양본가 강남역국기원사거리본점,4.2,80,"서울 강남구 테헤란로 124 삼원타워 1층
(지번) 역삼동 823",02-555-8494,"한우 생갈비 (220g) (68,000원), 한우 안창살 (120g) (59,000원), 한우 꽃등심 (120g) (49,000원), 한우 꽃살치 (120g) (49,000원), 한우 광양등심 (120g) (30,000원), 양념갈비 (가격정보 없음), 불고기 (가격정보 없음), 갈비탕 (가격정보 없음), 육비 (가격정보 없음), 밀면 (가격정보 없음)",후기 없음
호화반점,3.2,104,"서울 강남구 선릉로161길 5 1,2층
(지번) 신사동 664-25",,"짜장 (8,000원), 해물잡탕밥 (15,000원), 복분자 (12,000원), 고추잡채밥 (11,000원), 닭고기덮밥 (10,000원), 소고기덮밥 (10,000원), 잡채밥 (9,000원), 마파두부밥 (9,000원), 고추짬뽕밥 (9,000원), 짬뽕밥 (9,000원), 새우볶음밥 (8,000원), 군만두 (8,000원), 차돌짬뽕 (12,000원), 굴짬뽕 (12,000원), 우육탕면 (10,000원), 사천탕면 (10,000원), 고추짬뽕 (9,000원), 간짜장 (9,000원), 짬뽕 (9,000원), 사천탕수육 (25,000원), 깐소중새우 (35,000원), 찹쌀탕수육 (25,000원), 탕수육 (23,000원), 깐풍중새우 (35,000원), 전가복 (65,000원), 크림중새우 (35,000원), 해물누룽지탕 (34,000원), 팔보채 (34,000원), 해물잡탕 (34,000원), 류산슬 (34,000원), 양장피 (28,000원), 유린기 (29,000원), 깐풍기 (29,000원), 라조기 (29,000원), 고추잡채 (34,000원), 라조육 (27,000원), 난자완스 (30,000원), 냉채 (45,000원), 삼선샥스핀 (70,000원), 게살샥스핀 (65,000원), 해삼탕 (70,000원), 마파두부 (22,000원), 가상두부 (22,000원), 호두새우완자 (35,000원)",후기 없음
라비옥,3.7,357,"서울 강남구 테헤란로25길 42 2층
(지번) 역삼동 628-7",02-538-8592,"숯불 LA갈비 덮밥 (10,000원), 더 드림 덮밥 (12,000원), 숯불 LA갈비 정식 (15,000원), 매콤 비빔칼국수 정식 (15,000원), 랭 콩 칼국수 정식 (15,000원), 라비 로스구이 (180g) (20,000원), 라비양념구이 (200g) (20,000원), 눈꽃 진갈비 로스구이 (150g) (29,000원), 눈꽃 진갈비 양념구이 (170g) (29,000원), 얼큰 육개장 (12,000원), 용대리 황태탕 (12,000원), 완도 미역국 (12,000원), LA갈비 곰탕 (12,000원), 제부도 바지락 칼국수 (9,000원), 매콤 비빔 칼국수 (9,000원), 랭 콩 칼국수 (10,000원)",후기 없음
애니홀,4.2,42,"서울 강남구 테헤란로77길 11-10 1층
(지번) 삼성동 143-12",02-563-3433,"알리오올리오 (13,000원), 날치알&새우크림파스타 (14,500원), 버섯크림리조또 (14,000원), 직화쭈꾸미덮밥 (13,000원), 치킨퀘사디아 (16,500원), 감바스알하이요 (19,000원), 직화쭈꾸미&소면 (20,000원), 골뱅이&소면 (20,000원), 모듬포 (22,000원), 파티플래터 (32,000원), 리코타치즈샐러드 (13,500원), 포모도로 (12,500원), 까르보나라 (14,000원), 치킨아라비아따 (14,500원), 해물짬뽕파스타 (14,500원), 게살커리리조또 (14,500원), 해물토마토리조또 (14,500원), 케이준치킨샐러드 (12,500원), 크리스피치킨 (19,000원), 토마토카프레제 (17,000원), 치즈플래터 (24,000원), 까르보떡볶이 (16,000원), 먹태구이 (18,000원), 나쵸&살사 (8,000원), 후라이드포테이토 (9,000원), 쥐포&땅콩 (14,000원), 모듬소세지 (18,500원)",후기 없음
우밀가 안동국시 선릉점,3.3,5,"서울 강남구 선릉로93길 26 2층
(지번) 역삼동 704-51",02-557-1855,"국시 (12,000원), 떡국 (14,000원), 수육 (소) (36,000원), 전 (소) (28,000원), 우밀정식 (25,000원)",후기 없음
대려도,3.8,98,"서울 강남구 역삼로 118 2층
(지번) 역삼동 833",02-555-0550,"삼선짬뽕 (14,000원), 삼선백짬뽕 (14,000원), 게살볶음밥 (16,000원), 광동탕수육(S) (39,000원), 삼선짜장면 (12,000원), 삼선볶음밥 (14,000원), 유림기(S) (39,000원), 전가복(S) (65,000원), 어향동고(S) (47,000원)",후기 없음
바이킹스워프 코엑스점,3.3,649,"서울 강남구 영동대로 513 컨벤션센터 2층
(지번) 삼성동 159",1644-4446,"성인 (변동가격), 어린이 (36개월 이상~만 12세) (변동가격), 성인(모엣룸) (변동가격)",후기 없음
무오키,4.4,241,"서울 강남구 학동로55길 12-12 2층
(지번) 청담동 38-4",010-2948-4171,"DINNER (240,000원), LUNCH (140,000원)",후기 없음
정식당,4.3,692,"서울 강남구 선릉로158길 11
(지번) 청담동 83-24",02-517-4654,"LUNCH SIGNATURE (200,000원), DINNER SIGNATURE (300,000원), 모듬김밥 (200,000원), 성게 구절판 (200,000원), 성게 비빔밥 (88,000원), 맛있는 김밥 (28,000원), 봄나물 김밥 (30,000원), 울릉도 메이플 (28,000원)",후기 없음
아트몬스터 강남역점,4.1,318,"서울 강남구 테헤란로1길 28-3 1-2층
(지번) 역삼동 817-5",02-6448-6110,"윈터킹덤/330ml, ABV 10% (9,000원), 운짱 / 10ml, ABV 5.3% (170원), 청담동며느리/10ml, ABV 5.4% (170원), 몽크푸드 / 10ml, ABV 4.3% (170원), 이태원프리덤/10ml, ABV 4.9% (170원), 첫사랑의향기/10ml, ABV 5.4% (170원), 창세기 / 10ml, ABV 4.9% (230원), 수다스폰서 /10ml, ABV 5.9% (190원), 사랑범벅 / 10ml, ABV 5.9% (190원), 핵존심 / 10ml, ABV 8.8% (210원), 넘사벽 / 10ml, ABV 6.7% (230원), 순살 매운 간장 치킨(BEST) (18,900원), 금사빠 / 10ml, ABV 5.1% (190원), 피자 아몽(BEST) (17,900원), 더블 치즈 페페로니 피자(인기) (16,900원), 청양 페페로니 피자(인기) (16,900원), 순살 프라이드 치킨 (17,900원), JMT로제 떡볶이 순살 치킨 (18,900원), 순살 프라이드 치킨 (17,900원)",후기 없음
더바른정육식당 강남신논현본점,4.3,82,"서울 강남구 강남대로 482 1층
(지번) 논현동 199-4",02-541-7935,"바른 소한마리(500g) (139,000원), 바른 큰소한마리(700g) (189,000원), 바른 해우한마리(700g) (229,000원), 새우살,한창살,살치살(100g) (42,000원), 제주 근고기(600g) (67,000원), 한우등심(150g) (45,000원), 한우부채살(150g) (46,500원), 한우업진살(150g) (46,500원), 한우갈비살(150g) (46,500원), 한우안심(150g) (48,000원), 제주흑돼지오겹살(170g) (19,800원), 제주흑돼지목살(170g) (19,800원), 제주항정살(170g) (19,800원), 제주가브리살(170g) (19,800원), 한우육회(200g) (35,000원)",후기 없음
삼원가든,,381,"서울 강남구 언주로 835
(지번) 신사동 623-5",02-548-3030,"삼원 전통 양념갈비 (62,000원), 한우 생갈비 (120,000원), 한우 특생갈비 (150,000원), 한우 등심 생불고기 (58,000원), 삼원 냉면 (물/비빔/온) (20,000원), 삼원 갈비탕 (22,000원), 육개장 갈비탕 (23,000원), 보양 갈비탕 (40,000원), 도가니 우족탕 (40,000원), 제육 (40,000원), 돌솥 비빔밥 (22,000원), 육회 비빔밥 (28,000원), 전복죽 (35,000원)",후기 없음
하영각,3.9,105,"서울 강남구 개포로31길 8
(지번) 개포동 1262-14",02-572-5593,"누룽지탕 (45,000원)",후기 없음
알베르,3.0,695,"서울 강남구 강남대로102길 34
(지번) 역삼동 618-11",02-566-6181,"알베르시그니처아이스크림라떼 (8,000원), 티라미수 (7,000원), 패션후르츠 에이드 (8,000원), 블루베리 에이드 (8,000원), 아메리카노 (6,000원)",후기 없음
한일관 압구정점,3.4,113,"서울 강남구 압구정로38길 14
(지번) 신사동 619-4",02-732-3735,"불고기 1939 (33,000원), 차돌박이구이와 낙지볶음 (27,000원), 등심로스편채 (27,000원), 차돌박이구이와 향채무침 (25,000원), 탕평채 (13,000원), 냉면 (12,000원), 전통갈비탕 (19,000원), 된장찌개 (13,000원)",후기 없음
장사랑,3.7,55,"서울 강남구 언주로165길 7-4
(지번) 신사동 624-47",02-546-9994,"보리굴비 (26,000원), 고등어구이 (16,000원), 대파육개장 (12,000원), 들깨수제비 (12,000원), 바싹불고기（360g） (32,000원), 쭈꾸미볶음 (18,000원), 묵사발 (12,000원), 제육볶음 (18,000원), 해물파전 (18,000원), 김치부추전 (16,000원), 바싹불고기（180g） (20,000원), 간장게장（제주황게） (26,000원), 열무비빔밥 (12,000원), 메밀김치국수 (12,000원), 고등어김치찜 (14,000원), 등뼈김치찌개 (12,000원), 김치알솥밥 (13,000원), 공기밥 (2,000원), 된장찌개 (4,000원), 콜라 355mL (3,000원), 스프라이트 355mL (3,000원)",후기 없음
진대감 선릉점,4.7,"1,983","서울 강남구 테헤란로70길 25 101호
(지번) 대치동 895-11",02-564-1253,"한우차돌삼합대표 (29,000원), 한우투뿔모듬(No.9) (99,000원), 한우파김치전골대표 (55,000원), 한우차돌박이 (29,000원), 한우꽃게된장찌개 (12,000원), 키조개관자장비빔밥 (10,000원), 한우차돌짬뽕라면 (10,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원), 구수한누룽지 (8,000원), 날치알볶음밥 (6,000원), 점심)즉석한우불고기 (14,000원), 점심)한우꽃게된장찌개밥상 (12,000원), 점심)한돈파김치전골밥상 (11,000원), 점심)키조개관자장비빔밥상 (10,000원), 점심)한우차돌짬뽕라면밥상 (10,000원), 점심)갓김치물냉면 (10,000원), 점심)갓김치비빔냉면 (10,000원), 콩나물찜 (6,000원)",후기 없음
이자카야나무 대치점,4.3,210,"서울 강남구 선릉로86길 37 덕우빌딩 지하1층
(지번) 대치동 890-45",02-566-6787,"스시정식 (27,000원), 모둠사시미 (중) (56,000원), 참치사시미 (18pcs) (55,000원), 계란초밥 (2pcs) (2,000원), 광어초밥 (2pcs) (4,500원)",후기 없음
미미면가 본점,3.6,554,"서울 강남구 강남대로160길 29 1층
(지번) 신사동 521-16",0507-1413-5466,"냉소바 (9,000원), 우메보시 (10,000원), 어묵튀김 (10,000원), 가지튀김 (10,000원), 새우튀김(1p) (10,000원)",후기 없음
꿍탈레,3.9,197,"서울 강남구 압구정로10길 14
(지번) 신사동 531-1",02-543-5358,"뿌님팟퐁커리（M） ＋ 공기밥 （P1） (22,000원), 돼지고기 팟끄라파오 （B1） (12,000원), 게살볶음밥 （B3） (10,000원), 카오산 돼지고기 튀김 덮밥 （B6） (13,000원), 꿍탈레세트A （Set A） (30,000원), 꿍탈레세트B（Set.B） (31,000원), 꿍탈레세트 C_랭쎕_돼지등뼈요리＋공기밥（Set.C） (39,500원), 꿍탈레 세트D _랭쎕（돼지등뼈요리）＋ 공기밥 （Set.D） (40,500원), 고수 （팍치, 샹차이 ） 추가 (1,000원), 마늘볶음밥 추가 (2,000원), 공기밥 (1,000원), 피클 추가 (500원), 랭쎕 （태국식 돼지 등뼈 요리） ＋ 공기밥 (31,000원), 얌운센 （D1） (15,000원), 솜땀타이 （D2） (12,000원), 솜땀_발라_태국젓갈이 들어있어요 （D3） (13,000원), 텃만꿍 3개 （D4） (6,000원), 해물짜조 4개 （D5） (6,000원), 점보 야채 춘권 4개 （D6） (6,000원), 모듬튀김 6개 （D7） (8,000원), 새우볶음밥 （B4） (10,000원), 카오산 치킨 덮밥 （B7） (13,000원), BBQ 닭고기 덮밥 （카우만까이양） （B8） (14,000원), 파인애플 새우 볶음밥 （B9） (12,000원), 새콤 팟타이 새우 （F1） (10,000원), 담백 팟씨유 새우 （F2） (10,000원), 똠얌 새우 쌀국수 （A1） (12,000원), 소고기 쌀국수 （A2） (11,000원), 똠얌꿍 （M） （A3） (15,000원), 비건 솜땀（V1） (12,000원)",후기 없음
마포숯불갈비,3.4,40,"서울 강남구 도산대로 232 1층
(지번) 논현동 62-3",02-516-1522,"한우투뿔등심 (59,000원), 한우투뿔갈비살 (59,000원), 한우차돌박이 (38,000원), 한우언양불고기 (38,000원), 왕생갈비 (59,000원), 왕양념갈비 (56,000원), 돼지갈비 (22,000원), 생오겹살 (22,000원), 냉동삼겹살 (15,000원)",후기 없음
명동관,4.0,172,"서울 강남구 남부순환로 2912 그랑프리앤상가 지하 103호
(지번) 대치동 500",02-563-8882,"명품한상 (49,000원), 명동관정식 (27,000원), 전복갈비찜 (중) (120,000원), 샤브샤브 (1인) (27,000원), 전복갈비탕 (23,000원), 갈비탕 (19,000원), 소고기 샤브샤브(1인) (27,000원), 만두전골(1인) (22,000원), 보쌈정식(1인) (19,000원), 명동관칼국수 (12,000원), 전복갈비찜 (대) (15,000원), 능이갈비탕 (26,000원), 전복능이갈비탕 (32,000원), 보쌈정식 (19,000원), 제육볶음 (13,000원), 뚝배기불고기 (16,000원), 꼬막비빔밥 (15,000원), 떡만두국 (15,000원), 돌솥비빔밥 (15,000원), 수제왕만두(5알) (12,000원)",후기 없음
마노디셰프 강남점,4.3,386,"서울 강남구 테헤란로 129 강남N타워 지하1층
(지번) 역삼동 648-9",02-553-5311,"프리미엄 씨푸드 파스타 (28,900원), 감태 페스토 & 씨푸드 보리 리조또 (31,900원), 이탈리안 가든 샐러드 (19,900원), 프리미엄 머쉬룸 샐러드 (21,900원), 스테이크 피자 (33,900원), 크랩 & 쉬림프 파스타 (25,900원), 그릴드 치킨&시저 샐러드 (19,900원), 프리미엄 아보카도 샐러드 (22,900원), 돌체 바게트 (8,900원), 바질페스토 & 문어 마팔디네 (29,900원), 봉골레 알리오올리오 파스타 (27,900원), 프리미엄 씨푸드 로제 리조또 (27,900원), 스테이크&스파이시 라이스 (29,900원), 블루베리&루꼴라피자 (29,900원), 고르곤졸라 피자 (24,900원), 마르게리따 피자 (25,900원), 할라피뇨 알리올리오 파스타 (25,900원), 부라타치즈 (15,900원), 돌체 바게트&가든 샐러드 (8,900원), 테트 드 무안치즈&프로슈토 파파르델레 (32,900원)",후기 없음
압구정곱창 본점,4.0,185,"서울 강남구 압구정로42길 25-8 1층
(지번) 신사동 643-21",02-511-0042,"한우곱창구이 (200g) (30,000원), 한우막창구이 (200g) (30,000원), 한우대창구이 (200g) (30,000원), 특양구이(200g) (33,000원), 한우곱창전골 (150g) (26,000원), 차돌박이 (30,000원), 양곱창볶음밥 (10,000원), 볶음밥 (4,000원)",후기 없음
우텐더 서울점,3.4,70,"서울 강남구 압구정로42길 25-10
(지번) 신사동 643-20",010-2055-3889,"안창살 (69,000원), 꽃등심 (63,000원), 진짜등심불고기 (43,000원), 한우김치볶음밥 (23,000원), 한우곰탕 (18,000원)",후기 없음
이태리부대찌개 학동점,3.8,4,"서울 강남구 학동로33길 15 1층
(지번) 논현동 82-15",02-545-0310,"（판매량1위）부대전골（햄6종류） (15,000원), （실속）부대찌개（햄2종류） (14,000원), （신상품）햄듬뿍부대전골 (16,000원), 부대볶음（불향가득 매콤한볶음） (16,000원), 우삼겹 부대볶음 (18,000원), 오직 부대전골 （ 밥X, 반찬X, 버터X ） (14,000원), 계란말이 (7,000원), 오직 부대찌개 （ 밥X, 반찬X, 버터X ） (13,000원), 스팸구이 (6,000원), 공기밥 추가 (1,000원), 라면사리 추가 (1,000원), 버터 추가 (500원), 코카콜라（355mL） (2,000원), 칠성사이다（355mL） (2,000원), 환타 파인애플（355mL） (2,000원), 코카콜라 제로（355mL） (2,500원)",후기 없음
압구정하루,4.1,387,"서울 강남구 언주로172길 56 1층
(지번) 신사동 663-9",02-514-5557,"냉모밀 (11,000원), 판모밀 (11,000원), 냉우동 (71,000원), 비빔모밀 (11,000원), 비빔우동 (11,000원), 온모밀 (11,000원), 유부우동 (9,000원), 돈가스 (12,000원), 우동돈가스 (14,000원), 카레돈가스 (14,000원), 카레라이스 (9,000원), 유부초밥 (5,000원), 뚝배기김치우동 (13,000원), 김치돈가스 (14,000원)",후기 없음
압구정면옥,4.1,212,"서울 강남구 압구정로30길 16 1층
(지번) 신사동 610-3",02-516-3016,"한우 손만두 전골 (50,000원), 한우 어복쟁반 (2~3인) (75,000원), 평양냉면 (14,000원), 평양냉면 프리미엄 (16,000원), 압구정 손만두 한 접시 (14,000원), 압구정 손만두 반 접시 (8,000원), 제육 한 접시 (32,000원), 제육 반 접시 (17,000원), 한우 육수 불고기 1인분 (35,000원), 비빔냉면 프리미엄 (15,000원), 한우 어복쟁반 (4~5인) (110,000원), 압구정 손만둣국 (11,000원), 비빔냉면 (14,000원), 한우 편육 한 접시 (34,000원), 한우 편육 반 접시 (18,000원), 녹두전 (13,000원), 프리미엄 육수캔 (250ml/작은캔) (4,000원), 프리미엄 육수캔 (500ml/큰캔) (7,000원), 동그랑땡 한 접시(2개) (25,000원)",후기 없음
이도곰탕 본점,4.1,341,"서울 강남구 논현로94길 29-5
(지번) 역삼동 671-17",02-569-0524,"곰탕 (13,000원), 특곰탕 (16,000원), 쌀면곰탕 (13,000원), 수육 (49,000원), 툭쌀면곰탕 (16,000원)",후기 없음
몽중헌 대치점,3.8,168,"서울 강남구 영동대로 325 S-TOWER 1층
(지번) 대치동 983-17",02-565-5757,"시그니처 딤섬 (9,800원), 광동식 전가복 (S) (60,000원), 유린기 (S) (32,000원), 후난식 볶음밥 (15,000원), 삼선 짬뽕 (14,000원), 탕수육 (60,000원)",후기 없음
빌즈 강남,3.2,460,"서울 강남구 테헤란로 142 아크플레이스 2층
(지번) 역삼동 736-1",02-568-1353,"신선한 생 오렌지 주스+생강주스 (13,000원), 아뮤니티샷+석류, 레드커런트, 생강, 꿀 (5,000원), 그련저 그린 (13,000원), 빌즈비트 (13,000원)",후기 없음
어거스트힐 강남점,4.0,"2,376","서울 강남구 강남대로106길 25 1층
(지번) 역삼동 616-18",02-568-8003,"토마호크 스테이크(100g당) (19,700원), 티본스테이크(100g당) (17,000원), 채끝스테이크 (39,900원), 비프 로제 파스타 (20,900원), 스모크치킨 퀘사디아 (13,900원), 비프 버터 라이스 (21,900원), 베이크드 레몬버터 랍스타 테일&쉬림프 (76,000원), 프레쉬 치즈 샐러드 (21,900원), 수제 베이컨 콥샐러드 (21,900원), 문어 먹물 리조또 (20,900원), 새우 오일 파스타 (20,900원), 까르보나라 (13,000원), 스파이스 치킨라이스 (14,000원), 베이컨 잠발라야리조또 (19,900원), 수비드 치킨 토마토 파스타 (19,900원)",후기 없음
동래정 선릉직영점,4.7,261,"서울 강남구 언주로98길 20 1층 101호
(지번) 역삼동 700-29",070-7543-9247,"정가브리(1인) (17,000원), 동태목살(1인) (17,000원), 통삼겹(1인) (17,000원), 갈매기(1인) (17,000원)",후기 없음
